交易日期,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,隔日漲跌價,隔日收盤,隔日漲跌,slowk,slowd,K-D,upperband,middleband,lowerband,band_width,BIAS20,BIAS60,BIAS5,OBV,macd,macdsignal,macdhist,RSI
2013-06-13,2013-06-01,8050,8055,7931,7933,-193,-0.0238,127540,-13.0,7920.0,0,20.18572781695277,21.577807230555617,-1.392079413602847,8479.573648883248,8231.4,7983.22635111675,496.34729776649783,-0.03625142746069923,-0.014219854777713812,-0.01814446259715832,100743.0,-24.562642877542203,14.388673782735639,-38.95131666027784,32.12992116982865
2013-06-14,2013-06-01,7983,7985,7905,7920,-12,-0.0015,91743,53.0,7973.0,1,10.697679397015806,18.395402769526196,-7.69772337251039,8472.918239578672,8206.25,7939.581760421328,533.336479157344,-0.034881949733434885,-0.01609610455221191,-0.015292801193584483,9000.0,-40.109921877240595,3.488954650740391,-43.598876527980984,31.488826747132727
2013-06-17,2013-06-01,7923,7982,7920,7973,52,0.0066,80161,21.0,7994.0,1,8.727737477370278,13.203714897112958,-4.47597741974268,8453.826104476017,8184.75,7915.673895523983,538.1522089520331,-0.025871285011759674,-0.009798929445224064,-0.0058851400214458265,89161.0,-47.60582511771918,-6.730001302951523,-40.87582381476766,37.0073095910161
2013-06-18,2013-06-01,7971,8011,7937,7994,22,0.0028,108806,25.0,8019.0,1,18.760262289035733,12.728559721140613,6.03170256789512,8429.80469956155,8165.15,7900.49530043845,529.3093991230999,-0.02096103562090098,-0.007597576720627647,0.0005507159307098773,197967.0,-51.2609535811398,-15.63619175858918,-35.624761822550624,39.100459886956905
2013-06-19,2013-06-01,8005,8038,7987,8019,23,0.0029,60936,-271.0,7748.0,0,30.78370324436523,19.42390100359042,11.359802240774812,8397.25147117062,8146.6,7895.94852882938,501.30294234124085,-0.015662975965433475,-0.004951047909764315,0.006425864103014611,258903.0,-51.546185812240765,-22.818190569319498,-28.727995242921267,41.5888112173296
2013-06-20,2013-07-01,7795,7819,7739,7748,-136,-0.0173,107714,-90.0,7658.0,0,24.438805124626423,24.6609235526758,-0.22211842804937731,8393.921243828132,8114.3,7834.678756171868,559.2424876562636,-0.04514252615752439,-0.038522789789578626,-0.023049377112018987,151189.0,-72.80047105527137,-32.81464666650987,-39.9858243887615,28.1577652629838
2013-06-21,2013-07-01,7600,7680,7589,7658,-92,-0.0119,124153,-28.0,7630.0,0,18.103134714023472,24.441881027671712,-6.33874631364824,8425.373538143362,8086.55,7747.726461856639,677.647076286723,-0.05299540595185835,-0.04931172966586865,-0.02797522339561328,27036.0,-95.80254101997889,-45.412225537203675,-50.390315482775215,25.24222607938354
2013-06-24,2013-07-01,7628,7663,7602,7630,-28,-0.0037,91483,-24.0,7606.0,0,6.937809428979878,16.493249755876594,-9.555440326896715,8443.362978560515,8056.95,7670.537021439484,772.825957121031,-0.052991516640912485,-0.05238384043286482,-0.02302235652641555,-64447.0,-114.96595719153083,-59.322971868069104,-55.64298532346173,24.39589995405841
2013-06-25,2013-07-01,7613,7683,7580,7606,-23,-0.003,158891,31.0,7637.0,1,8.089725092578336,11.043556411860566,-2.95383131928223,8446.15723256782,8024.45,7602.74276743218,843.414465135641,-0.05214687610988913,-0.05486763052109029,-0.016321357440314505,-223338.0,-130.58440624683135,-73.57525874382155,-57.0091475030098,23.663534905416462
2013-06-26,2013-07-01,7650,7689,7609,7637,33,0.0043,121002,76.0,7713.0,1,8.379136305614296,7.802223609057507,0.5769126965567883,8432.825716134146,7993.4,7553.974283865852,878.851432268294,-0.04458678409687988,-0.05061245462531699,-0.00245565453642992,-102336.0,-138.86000700244495,-86.63220839554623,-52.227798606898716,26.723460411524552
